Subfolder,Word Count
b1-apparel-accessories-and-footwear,1346
b2-appliance-manufacturing,1120
b3-building-products-and-furnishings,3275
b4-e-commerce,2548
b5-household-and-personal-products,1912
b6-multiline-and-specialty-retailers-and-distributors,994
b7-coal-operations,3589
b8-construction-materials,4828
b9-iron-and-steel-producers,3528
b10-metals-and-mining,2950
b11-oil-and-gas-exploration-and-production,6103
b12-oil-and-gas-midstream,2137
b13-oil-and-gas-refining-and-marketing,3052
b14-oil-and-gas-services,2563
b15-asset-management-and-custody-activities,3587
b16-commercial-banks,3400
b17-insurance,5851
b18-investment-banking-and-brokerage,3189
b19-mortgage-finance,1048
b20-agricultural-products,4777
b21-alcoholic-beverages,3471
b22-food-retailers-and-distributors,4253
b24-non-alcoholic-beverages,3964
b26-restaurants,2725
b28-health-care-delivery,2679
b30-managed-care,508
b32-electric-utilities-and-power-generators,7546
b34-gas-utilities-and-distributors,3538
b36-real-estate,11764
b37-real-estate-services,1851
b38-waste-management,3068
b39-water-utilities-and-services,5946
b40-biofuels,3647
b41-forestry-management,3195
b42-fuel-cells-and-industrial-batteries,2226
b43-pulp-and-paper-products,5365
b44-solar-technology-and-project-developers,3469
b45-wind-technology-and-project-developers,1169
b46-aerospace-and-defense,1749
b47-chemicals,4302
b48-containers-and-packaging,4755
b49-electrical-and-electronic-equipment,2053
b50-industrial-machinery-and-goods,1916
b51-casinos-and-gaming,1052
b52-hotels-and-lodging,1798
b53-leisure-facilities,1227
b54-electronic-manufacturing-services-and-original-design,1374
b55-hardware,1992
b56-internet-media-and-services,1776
b57-semiconductors,3743
b58-software-and-it-services,2547
b59-telecommunication-services,1500
b60-air-freight-and-logistics,2769
b61-airlines,2028
b62-auto-parts,1385
b63-automobiles,1438
b64-car-rental-and-leasing,893
b65-cruise-lines,2224
b66-marine-transportation,2206
b67-rail-transportation,1821
b68-road-transportation,1823
b23-meat-poultry-and-dairy,5162
b25-processed-foods,4207
b27-drug-retailers,911
b29-health-care-distributors,577
b31-medical-equipment-and-supplies,778
b33-engineering-and-construction-services,4544
b35-home-builders,3610
Total,200341
